date,home_team,away_team,score,venue,referee,home_possession,away_possession,home_shots_on_target,away_shots_on_target,home_saves,away_saves,home_shots_on_target_pct,away_shots_on_target_pct,home_saves_pct,away_saves_pct,result,winner
2026-01-28,Arsenal,FC Kairat,3–2,Emirates Stadium,Urs Schnyder,66%,34%,11 of 25,2 of 4,0 of 2,7 of 11,44.0,50.0,0.0,63.6,Home Win,Arsenal
2026-01-28,Manchester City,Galatasaray,2–0,Etihad Stadium,Alejandro Hernández,50%,50%,5 of 10,4 of 4,4 of 4,3 of 5,50.0,100.0,100.0,60.0,Home Win,Manchester City
2026-01-28,Liverpool,Qarabağ,6–0,Anfield,Ivan Kružliak,56%,44%,12 of 38,1 of 5,1 of 1,6 of 12,31.6,20.0,100.0,50.0,Home Win,Liverpool
2026-01-28,Monaco,Juventus,0–0,Stade Louis II,Jose Maria Sánchez,50%,50%,5 of 11,0 of 5,0 of 0,5 of 5,45.5,0.0,,100.0,Draw,Draw
2026-01-28,Dortmund,Inter,0–2,Signal Iduna Park,István Kovács,45%,55%,1 of 9,5 of 12,3 of 5,1 of 1,11.1,41.7,60.0,100.0,Away Win,Inter
2026-01-28,Union SG,Atalanta,1–0,Lotto Park,Michael Oliver,36%,64%,4 of 8,2 of 13,2 of 2,2 of 4,50.0,15.4,100.0,50.0,Home Win,Union SG
2026-01-28,PSV,Bayern Munich,1–2,Philips Stadion,João Pinheiro,42%,58%,7 of 13,8 of 17,6 of 8,6 of 7,53.8,47.1,75.0,85.7,Away Win,Bayern Munich
2026-01-28,Club Brugge,Marseille,3–0,Jan Breydelstadion,Marco Guida,38%,62%,5 of 11,9 of 18,9 of 9,2 of 5,45.5,50.0,100.0,40.0,Home Win,Club Brugge
2026-01-28,Eintracht Frankfurt,Tottenham Hotspur,0–2,Deutsche Bank Park,Jesús Gil,45%,55%,1 of 4,6 of 15,4 of 6,1 of 1,25.0,40.0,66.7,100.0,Away Win,Tottenham Hotspur
2026-01-28,Ajax,Olympiacos,1–2,Johan Cruijff Arena,François Letexier,63%,37%,4 of 11,3 of 11,1 of 3,2 of 4,36.4,27.3,33.3,50.0,Away Win,Olympiacos
2026-01-28,Atlético Madrid,Bodø/Glimt,1–2,Riyadh Air Metropolitan Stadium,Maurizio Mariani,65%,35%,8 of 27,7 of 11,3 of 7,7 of 8,29.6,63.6,42.9,87.5,Away Win,Bodø/Glimt
2026-01-28,Athletic Club,Sporting CP,2–3,San Mamés,Felix Zwayer,35%,65%,2 of 9,6 of 9,3 of 6,0 of 2,22.2,66.7,50.0,0.0,Away Win,Sporting CP
2026-01-28,Barcelona,FC Copenhagen,4–1,Spotify Camp Nou,Benoît Bastien,77%,24%,13 of 28,1 of 6,0 of 1,8 of 13,46.4,16.7,0.0,61.5,Home Win,Barcelona
2026-01-28,Leverkusen,Villarreal,3–0,BayArena,Espen Eskås,65%,35%,7 of 15,2 of 5,2 of 2,4 of 7,46.7,40.0,100.0,57.1,Home Win,Leverkusen
2026-01-28,Paris Saint-Germain,Newcastle United,1–1,Parc des Princes,Slavko Vinčič,67%,33%,7 of 25,4 of 10,3 of 4,5 of 7,28.0,40.0,75.0,71.4,Draw,Draw
2026-01-28,Napoli,Chelsea,2–3,Stadio Diego Armando Maradona,Clément Turpin,46%,54%,5 of 8,5 of 11,2 of 5,3 of 5,62.5,45.5,40.0,60.0,Away Win,Chelsea
2026-01-28,Pafos FC,Slavia Prague,4–1,Alphamega Stadium,Tobias Stieler,45%,55%,8 of 17,3 of 13,2 of 3,5 of 8,47.1,23.1,66.7,62.5,Home Win,Pafos FC
